0,0,0.00132087359
0,1,0.00110673154
0,2,0.00110109295
0,3,0.00106739759
0,4,0.00111228731
0,5,0.00137628545
0,6,0.00136064256
0,7,0.00118830349
0,8,0.0014637648
0,9,0.00242290664
0,10,0.00189593392
0,11,0.00209327072
0,12,0.00187741586
0,13,0.00245375156
0,14,0.00153198436
0,15,0.00179133003
0,16,0.00251884708
0,17,0.00274647969
0,18,0.0024681623
0,19,0.00379090986
0,20,0.00716322426
0,21,0.00276644488
0,22,0.00393144691
0,23,0.00532757117
0,24,0.00163796938
0,25,0.0013790652
0,26,0.00179363866
0,27,0.00176579979
0,28,0.00185282334
0,29,0.00166415501
0,30,0.00190511672
0,31,0.00171422163
